ko00010	Glycolysis / Gluconeogenesis
ko00071	Fatty acid metabolism
ko00350	Tyrosine metabolism
ko00624	1- and 2-Methylnaphthalene degradation
ko00641	3-Chloroacrylic acid degradation
ko00830	Retinol metabolism
ko00980	Metabolism of xenobiotics by cytochrome P450
ko00982	Drug metabolism - cytochrome P450
ko00561	Glycerolipid metabolism
ko00930	Caprolactam degradation
ko00260	Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism
ko00300	Lysine biosynthesis
ko00650	Butanoate metabolism
ko00564	Glycerophospholipid metabolism
ko00040	Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism
ko00521	Streptomycin biosynthesis
ko00562	Inositol phosphate metabolism
ko00052	Galactose metabolism
ko00620	Pyruvate metabolism
ko00053	Ascorbate and aldarate metabolism
ko00500	Starch and sucrose metabolism
ko00520	Amino sugar and nucleotide sugar metabolism
ko00340	Histidine metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00630	Glyoxylate and dicarboxylate metabolism
ko00640	Propanoate metabolism
ko00072	Synthesis and degradation of ketone bodies
ko00280	Valine, leucine and isoleucine degradation
ko00900	Terpenoid backbone biosynthesis
ko00062	Fatty acid elongation in mitochondria
ko00281	Geraniol degradation
ko00310	Lysine degradation
ko00380	Tryptophan metabolism
ko00020	Citrate cycle (TCA cycle)
ko00710	Carbon fixation in photosynthetic organisms
ko00720	Reductive carboxylate cycle (CO2 fixation)
ko04964	Proximal tubule bicarbonate reclamation
ko02020	Two-component system
ko00480	Glutathione metabolism
ko04146	Peroxisome
ko00030	Pentose phosphate pathway
ko00120	Primary bile acid biosynthesis
ko00140	Steroid hormone biosynthesis
ko00290	Valine, leucine and isoleucine biosynthesis
ko00770	Pantothenate and CoA biosynthesis
ko00360	Phenylalanine metabolism
ko00621	Biphenyl degradation
ko00622	Toluene and xylene degradation
ko00061	Fatty acid biosynthesis
ko01040	Biosynthesis of unsaturated fatty acids
ko00523	Polyketide sugar unit biosynthesis
ko04960	Aldosterone-regulated sodium reabsorption
