PID	mtc_mock_even_lc
LEU-DEG2-PWY	4
P164-PWY	1
PWY-5493	12
PWY-5497	6
PWY490-4	8
PWY4FS-7	3
PWY-5087	1
PWY-5084	4
PWY-5913	3
PYRIDOXSYN-PWY	10
PYRIDNUCSAL-PWY	14
PWY-6193	2
ILEUSYN-PWY	17
THIOREDOX-PWY	17
PWY-6579	1
PWY0-1305	4
PWY0-1306	1
PWY-5143	9
PWY0-1301	9
PWY-5668	16
PWY-5669	14
PWY-5667	18
CYANCAT-PWY	2
PWY0-1309	3
PWY-5661	8
PWY-4621	1
PWY-6430	1
COA-PWY	15
PWY-6578	1
XYLCAT-PWY	9
CALVIN-PWY	1
PWY-5989	10
PWY-5988	8
PWY0-1490	1
P261-PWY	1
PWY-5986	6
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	5
ASPARTATESYN-PWY	8
PWY-4921	3
FERMENTATION-PWY	18
GLUGLNSYN-PWY	3
PWY0-1275	5
PWY-2661	6
PWY-6507	4
GLYOXDEG-PWY	2
PWY-2161B	7
PWY-4341	2
NAD-BIOSYNTHESIS-II	5
PWY-701	3
CENTFERM-PWY	1
PWY-5278	1
GLYCLEAV-PWY	7
PWY-6143	1
PWY-6147	16
CATECHOL-ORTHO-CLEAVAGE-PWY	1
DARABITOLUTIL-PWY	1
PWY0-541	7
PWY0-461	5
PWY-4081	4
PWY0-1280	1
SALVPURINE2-PWY	14
ENTBACSYN-PWY	1
P345-PWY	3
GLUTAMATE-DEG1-PWY	7
PWY-5366	1
PWY-5364	1
PWY-5046	2
PWY-2201	14
P1-PWY	17
PWY-4101	3
PWY-5041	3
PWY-5437	7
HCAMHPDEG-PWY	1
PWY-5436	2
PANTO-PWY	13
TEICHOICACID-PWY	6
PWY-1781	1
PWY0-381	10
PWY-5025	1
PWY0-1458	1
PWY-5448	2
PWY-4121	1
PWY-3722	5
PWY-5189	1
PWY-5188	6
PWY-6470	1
ARGSYNBSUB-PWY	6
PWY-6475	3
PWY-6519	2
PWY-6478	3
PWY-6518	1
PWY-1341	4
PWY-2301	6
FASYN-ELONG-PWY	16
PWY-6277	10
PWYQT-4429	5
GLUTAMATE-SYN2-PWY	1
GALACTCAT-PWY	2
PWY-6529	1
BETSYN-PWY	2
PWY-5698	1
PWY-5697	1
PWY3O-4106	1
HOMOSERSYN-PWY	17
P221-PWY	1
4-HYDROXYMANDELATE-DEGRADATION-PWY	1
PLPSAL-PWY	13
VALDEG-PWY	2
PWY0-1338	2
PWY0-1335	2
PWY0-1334	7
PWY0-1337	6
PWY0-1336	1
HISTSYN-PWY	15
PWY-6385	9
PWY-6386	2
PWY-6387	18
ANAPHENOXI-PWY	1
PWY-6389	12
PWY-4441	7
GLYCEROLMETAB-PWY	3
TRYPDEG-PWY	2
PWY-4722	2
PWY0-1483	1
PWY0-1482	1
ASPARTATE-DEG1-PWY	10
PWY-6185	1
PWY0-1487	1
PWY-6028	1
PWY0-1485	1
PWY-6021	1
PWY0-1241	5
P641-PWY	2
PWY0-1300	4
PWY-5142	5
PWY-3841	16
PWY0-1303	1
ANARESP1-PWY	18
CHLOROPHYLL-SYN	11
GLYCOLATEMET-PWY	4
PWY-43	1
PWY-40	4
PWY-46	2
PWY0-862	7
TRNA-CHARGING-PWY	18
PWY0-1415	10
PWY-5663	2
GLUCONSUPER-PWY	4
P344-PWY	2
PWY-5148	5
PWY-822	1
PWY-5705	1
PWY-5704	3
REDCITCYC	2
PWY-5703	4
ANAEROFRUCAT-PWY	17
PWY-6336	4
PWY-5097	1
PWY-5901	5
FOLSYN-PWY	18
PWY-1269	11
PCEDEG-PWY	1
PWY0-1468	1
PWY-5794	2
GLYCOLYSIS-TCA-GLYOX-BYPASS	2
PWY0-1465	1
PWY0-1466	3
GLUTAMINEFUM-PWY	10
GLYCOLYSIS	19
GALACTMETAB-PWY	1
PWY-5177	6
TRESYN-PWY	2
PWY-5673	3
PWY-5674	3
PWY-5677	1
