PID	mtc_mock_stg_hc
PWY-681	0.0237727
LEU-DEG2-PWY	147.601
PWY-5746	0.124994
P124-PWY	4.15682
P164-PWY	33.7082
PWY-5490	2.5188
PWY-5493	146.093
PWY-6326	14.3103
PWY-5326	5.19669
PWY-5497	61.3805
PWY490-4	332.318
PWY490-5	5.31964
PWY-6328	0.671357
TOLUENE-DEG-4-OH-PWY	13.7474
PWY-5086	52.0713
PWY-5087	6.45267
PWY-5084	311.113
PWY490-3	10.9844
PWY-5913	293.523
PWY-5915	44.1564
PYRIDOXSYN-PWY	438.513
PWY-5917	51.9076
P662-PWY	0.0237727
PYRIDNUCSAL-PWY	243.474
PWY-6193	234.289
PWY3O-440	1.79205
ILEUSYN-PWY	485.8
THIOREDOX-PWY	317.1
PWY0-1305	69.3823
PWY0-1306	0.635058
PWY0-1300	72.1796
PWY-5142	40.8647
PWY-5668	491.955
PWY-5669	379.598
PWY-5667	526.707
PWY-5298	3.21393
PWY0-1309	58.6289
PWY-5148	268.775
PWY-4621	45.6191
PWY-6435	0.187478
PWY-6000	2.54257
PWY-6430	63.3205
COA-PWY	525.378
PWY-6578	188.599
XYLCAT-PWY	153.066
PWY-5939	19.5312
PWY-5989	402.794
PWY-5988	436.645
PWY-6279	44.42
PWY0-1490	0.635058
P108-PWY	290.718
PWY-5986	179.247
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	262.463
NAD-BIOSYNTHESIS-III	20.0463
CENTBENZCOA-PWY	3.19684
ASPARTATESYN-PWY	308.432
PWY-4921	49.4237
FERMENTATION-PWY	474.706
GLUGLNSYN-PWY	29.7851
PWY0-1275	103.119
PWY490-7	5.31964
PARATHION-DEGRADATION-PWY	2.5188
PWY-2661	291.373
PWY-6507	55.1191
GLYOXDEG-PWY	58.709
PWY-2161B	309.591
PWY-4341	288.136
NAD-BIOSYNTHESIS-II	369.109
PWY5F9-3233	0.529694
MALTOSECAT-PWY	40.4824
PWY-4561	35.0717
CENTFERM-PWY	248.92
PWY-1281	0.0998082
GLYCLEAV-PWY	388.401
PWY0-1468	0.635058
PWY-6143	0.238512
PWY-6147	481.54
PWY-702	1.04154
CATECHOL-ORTHO-CLEAVAGE-PWY	29.5989
DARABITOLUTIL-PWY	11.8214
PWY-3982	74.1573
PWY0-461	129.489
PWY-4081	74.0852
PWY0-1280	1.6766
SALVPURINE2-PWY	250.442
ENTBACSYN-PWY	1.6766
PWY-5929	0.0237727
P345-PWY	263.156
PWY-5076	2.11856
PWY-5344	402.838
PWY-3801	1.04154
PWY-5364	50.8648
PWY-301	164.932
PWY-5046	67.11
PWY-5921	329.177
P1-PWY	532.759
PWY-4101	33.2646
PWY-5041	230.514
PWY-5028	193.841
PWY-5951	0.486187
PWY-5436	9.07551
PANTO-PWY	480.451
TEICHOICACID-PWY	59.4076
PWY-6215	35.7045
PWY-1781	179.937
PWY0-381	358.244
LIPA-CORESYN-PWY	66.2544
PWY-4381	40.9262
P222-PWY	15.462
PWY-5448	16.1175
PWY-5027	48.6459
PWY-3722	69.8427
PWY-5189	171.372
PWY-5188	365.729
AMMOXID-PWY	16.426
PWY-5740	178.459
PWY-6470	37.8772
ARGSYNBSUB-PWY	362.085
PWY-5744	0.627261
PWY-5747	5.31964
PWY-6475	265.309
PWY-6519	192.576
PWY-6478	249.452
PWY-5366	8.87189
PWY-6374	2.25469
PWY-6518	2.26148
PWY-1341	117.143
PWY-2301	284.126
FASYN-ELONG-PWY	481.157
PWY-6277	388.277
PWYQT-4429	152.849
GLUTAMATE-SYN2-PWY	48.5113
GALACTCAT-PWY	43.5568
PWY-6529	0.169527
THREONINE-DEG2-PWY	151.009
PARATHION-CATABOLISM-PWY	2.5188
PWY-5698	198.087
PWY-5697	183.336
PWY-5695	2.62852
PWY3O-4106	8.29577
PWY-5691	9.58527
PWY-5690	9.17833
HOMOSERSYN-PWY	467.802
P221-PWY	23.7254
PWY-66	113.185
PLPSAL-PWY	360.789
PWY-5136	1.19031
VALDEG-PWY	241.792
PWY0-1338	27.5046
PWY0-1335	36.6511
PWY0-1334	273.862
PWY0-1337	275.498
PWY0-1336	0.635058
PWY-5130	1.0408
PWY-2622	12.338
HISTSYN-PWY	481.049
PWY-6384	0.124994
PWY-6385	422.42
PWY-6386	42.1728
PWY-6387	491.85
P23-PWY	13.7196
ANAPHENOXI-PWY	27.9652
SUCSYN-PWY	51.9076
PWY-6388	0.671357
PWY-6389	457.13
PWY-5874	2.16793
PWY-4441	161.24
GLYCEROLMETAB-PWY	65.423
P381-PWY	397.93
TRYPDEG-PWY	11.0607
PWY-4722	14.6683
PWY0-1483	0.635058
PWY0-1482	0.635058
ASPARTATE-DEG1-PWY	151.572
PWY-6185	36.9357
PWY0-1487	0.635058
PWY-6028	3.9161
PWY-5154	20.4224
PWY-6021	3.54656
PWY0-1241	261.174
CALVIN-PWY	79.9341
PWY-6499	1.16438
DHGLUCONATE-PYR-CAT-PWY	172.593
GLUDEG-II-PWY	1.33429
P641-PWY	54.7671
PWY-5143	380.972
PWY-6163	2.90108
PWY0-1301	86.3473
PWY-3841	457.525
PWY-5005	0.82028
PWY0-1303	1.6766
PWY-5103	0.1081
ANARESP1-PWY	518.943
P105-PWY	184.257
ARGDEG-V-PWY	2.54257
CHLOROPHYLL-SYN	231.513
TRPSYN-PWY	451.435
PWY-43	179.033
PWY-40	125.434
PWY-46	59.1323
PWY0-862	381.54
TRNA-CHARGING-PWY	533.394
CYANCAT-PWY	50.5372
PWY-1622	214.538
PWY0-1415	360.471
PWY-6178	0.0237727
PWY-5663	106.843
PWY-4984	9.05495
GLUCONSUPER-PWY	102.268
PWY-5521	50.8542
PWY-4983	20.4658
P344-PWY	209.556
PWY-5661	213.833
PWY-761	7.23055
P483-PWY	64.9419
PWY-5705	0.635058
PWY-5704	89.4411
PWY-5508	420.999
DRIBOPMET-PWY	0.124994
PWY-5703	248.875
ANAEROFRUCAT-PWY	518.61
PWY-6336	203.748
PWY-5886	6.92993
PWY-6330	3.96744
PWY-6333	2.11856
PWY-5097	60.6963
PWY-6339	4.94331
PWY-5901	109.083
PWY-5907	0.124994
P321-PWY	3.22061
FOLSYN-PWY	533.394
PWY-1269	368.7
PCEDEG-PWY	32.7639
PWY-5419	0.429886
PWY-5418	1.81583
PWY-5791	25.5649
PWYG-321	2.5188
PWY-5794	16.3215
GLYCOLYSIS-TCA-GLYOX-BYPASS	27.0624
PWY0-1465	0.635058
PWY0-1466	38.547
GLUTAMINEFUM-PWY	193.235
GLYCOLYSIS	535.463
GALACTMETAB-PWY	1.80159
CYCLOHEXANOL-OXIDATION-PWY	165.362
PWY-5177	294.911
TRESYN-PWY	231.268
PWY-5670	9.56087
PWY-5673	63.8097
PWY-5675	0.124994
MENAQUINONESYN-PWY	87.0613
PWY-5677	36.2133
PWY-5676	288.785
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	208.635
PWY-743	0.0237727
GLYCOGENSYNTH-PWY	225.699
PWY-6044	0.406113
CITRULBIO-PWY	9.53621
PWY-5382	16.7883
PWY-6344	62.9036
PWY-5384	33.2999
PWY-5386	183.993
PWY-6348	93.6571
PWY-5885	0.406113
GLYCINE-SYN2-PWY	0.1081
PWY-5837	363.041
PWY-5833	5.63821
PWY-5831	24.3599
GALLATE-DEGRADATION-II-PWY	11.1733
MALATE-ASPARTATE-SHUTTLE-PWY	248.146
PWY-4121	12.7458
PWY-5839	45.7843
PWY-1801	185.539
P562-PWY	22.329
QUINATEDEG-PWY	0.0237727
PWY0-1321	1.80159
LACTOSEUTIL-PWY	174.566
CYSTSYN-PWY	490.629
PWY-2	0.0237727
PYRUVDEHYD-PWY	367.12
P184-PWY	24.206
FASYN-INITIAL-PWY	7.12124
BGALACT-PWY	261.17
GLUTATHIONESYN-PWY	340.812
P261-PWY	18.5516
ARGDEGRAD-PWY	18.1374
PWY-901	0.635058
ASPARAGINE-BIOSYNTHESIS	407.269
PWY-5104	2.77608
PWY-5197-1	1.04154
HEMESYN2-PWY	412.033
PWY-6012	426.605
PWY-3781	390.116
PHESYN	12.1353
PWY-6517	12.492
PWY-6184	9.33943
PWY-5429	0.0237727
PWY-6512	32.4316
TRPIAACAT-PWY	0.671357
PWY-6183	9.70285
PWY0-1485	0.635058
ALANINE-DEG3-PWY	1.96511
GLYSYN-PWY	533.155
PWY-6158	7.37644
PWY-1701	6.71092
PWY-6154	0.473999
PWY-6151	360.325
PWY-5484	522.001
PWY-6153	91.9055
PWY1-2	303.388
PWY1-3	185.44
GDPRHAMSYN-PWY	193.337
PWY-6013	22.9558
PWY-6018	436.645
CHE-PWY	0.635058
PWY-801	2.24648
PWY0-1296	191.939
PWY0-1297	225.029
PWY0-1295	106.423
ENTNER-DOUDOROFF-PWY	127.689
P542-PWY	14.4262
PWY-5481	79.92
PWY0-1298	495.306
PWY0-1299	180.29
PWY-5350	122.34
TREDEGLOW-PWY	94.8149
PWY-5486	8.47974
PWY-5354	222.851
PWY-5427	7.53611
PWY-5428	0.0237727
OXIDATIVEPENT-PWY	387.878
PWY-5358	1.00348
ARG-GLU-PWY	32.3193
PWY-5057	134.822
PWY0-321	155.022
TYRSYN	340.325
COBALSYN-PWY	229.212
PWY-5946	5.31964
PWY-5944	49.7396
PWY-5943	29.004
CITRULLINE-DEG-PWY	461.559
PWY-5941	406.878
PWY-5940	1.98889
PWY-6120	33.3751
PWY-6121	494.185
PWY-6122	397.933
PWY-6123	92.2831
PWY-6124	508.393
PWY-6125	533.394
PWY-6126	533.306
FUCCAT-PWY	71.6745
PWY490-6	5.31964
DTDPRHAMSYN-PWY	418.006
HOMOCYSDEGR-PWY	65.931
PWY0-521	24.7382
PWY0-522	199.52
PWY-5512	6.51467
PWY3O-246	0.486187
PWY-5651	62.4002
PWY-6200	0.0237727
GALACTARDEG-PWY	88.0012
ARO-PWY	482.006
PWY-5630	20.4461
PWY-5633	20.4224
KDO-NAGLIPASYN-PWY	58.258
P283-PWY	59.0622
PWY-5737	100.527
PWY-2503	7.43964
PWY-6463	0.0158269
PWY0-541	274.251
PWY-1081	10.9503
PWY-5739	5.85075
PWY0-1477	0.656611
PWY-5426	16.5417
PWY-6269	350.614
PWY-6268	209.855
PWY-283	5.6367
GLNSYN-PWY	471.352
PWY-723	37.901
GAMMAHEXCHLORDEG-PWY	3.01055
PWY-5283	6.81733
PWY1G-170	0.0237727
2ASDEG-PWY	183.939
PWY-5278	6.66087
P106-PWY	0.124994
UDPNAGSYN-PWY	473.898
PWY-6556	0.17501
PWY-3661	1.0408
PWY-5120	37.2626
PWY-5123	178.217
PWY-5122	67.36
PWY0-1329	11.2299
ANAGLYCOLYSIS-PWY	529.508
PWY0-1324	95.4127
PWY-2941	0.480955
PWY-5647	177.362
ARGASEDEG-PWY	111.176
MANNCAT-PWY	208.865
ILEUDEG-PWY	358.191
DAPLYSINESYN-PWY	361.506
GLYCOCAT-PWY	254.008
PWY-922	87.7967
PWY0-981	184.531
LCYSDEG-PWY	64.6962
PWY-6397	2.5188
PWY-6392	0.486187
PWY-6391	0.486187
PWY-6390	0.671357
P122-PWY	60.339
PWY-6497	0.123581
TRPCAT-PWY	62.0935
PWY-4302	249.877
SERSYN-PWY	493.497
PWY0-43	194.931
PWY3O-210	3.25405
MANNIDEG-PWY	42.5123
PWY-6196	37.816
PWY0-1495	0.635058
2PHENDEG-PWY	24.7667
PWY0-1497	0.635058
AST-PWY	51.488
PWY0-1492	0.635058
PWY0-1493	0.635058
ASPARAGINE-DEG1-PWY	235.891
PWY0-1498	0.635058
PWY0-1499	0.635058
PWY-1422	2.43154
PWY-3181	5.59522
DISSULFRED-PWY	0.0876533
PWY0-181	305.483
PWY66-161	5.31964
PWY66-162	23.7345
P201-PWY	5.55795
PWY0-1391	41.2212
TOLUENE-DEG-CATECHOL-PWY	7.24202
HEME-BIOSYNTHESIS-II	284.398
THRDLCTCAT-PWY	16.1175
P21-PWY	498.153
PWY-6523	166.003
PWY0-1474	0.635058
PWY0-1347	0.635058
NAGLIPASYN-PWY	417.597
PWY0-163	533.055
PWY0-166	506.931
ALKANEMONOX-PWY	48.8014
PWY-6462	0.0158269
LEUSYN-PWY	477.23
GLYCOLATEMET-PWY	153.638
ALANINE-SYN2-PWY	3.02441
PWY5F9-12	4.89964
PWY-6164	475.185
PWY0-1313	413.043
PWY-6166	53.6151
PWY0-1471	0.635058
PWY0-1312	363.316
ASPARAGINESYN-PWY	142.803
ARGSYN-PWY	447.977
OANTIGEN-PWY	49.3913
METHYLGALLATE-DEGRADATION-PWY	86.484
DARABCATK12-PWY	48.8293
ALACAT2-PWY	33.8965
PHENYLALANINE-DEG1-PWY	346.101
PWY-101	51.9076
PWY-1501	21.5554
METHIONINE-DEG1-PWY	366.384
PWY-2541	9.05495
PWY-5265	1.04154
1CMET2-PWY	188.546
RHAMCAT-PWY	62.0453
PUTDEG-PWY	1.70509
PWY-5063	5.31964
PWY-5064	5.31964
SO4ASSIM-PWY	345.419
PWY-5169	10.0622
PROPIONMET-PWY	253.346
PWY-6223	8.85325
PWY0-1319	279.518
PWY-6221	6.76775
HEXPPSYN-PWY	1.04154
LYXMET-PWY	69.1913
PWY-1881	71.6558
PWY-5657	1.16654
PWY-5629	2.19171
PWY-5938	463.617
PWY-5656	20.6998
PWY-5785	494.801
PWY0-1479	201.746
PWY-5783	99.7773
PWY-5782	50.8542
PWY0-1470	0.635058
P224-PWY	9.51651
ALANINE-VALINESYN-PWY	495.103
PWY-5461	38.5111
LIPASYN-PWY	116.648
TCA	216.939
P223-PWY	40.3106
PWY-5453	5.9547
GALACTUROCAT-PWY	75.2688
SULFMETII-PWY	291.406
PWY-6459	1.04154
PWY-6454	60.3818
PWY-6455	57.6153
PWY-5162	32.8571
PWY-5767	24.4302
PWY-5766	48.5113
CRNFORCAT-PWY	249.149
PWY-5499	0.0430563
PWY-6353	5.51052
PWY-5808	33.39
PWY-6357	93.6571
PWY-1361	0.585995
GLUTORN-PWY	454.014
PWY-5807	74.9612
PWY-5805	23.6321
AEROBACTINSYN-PWY	11.7153
P2-PWY	54.9393
PWY-6118	20.6601
CHOLINE-BETAINE-ANA-PWY	30.2579
PWY-5600	19.8123
PWY66-21	99.5907
GLYSYN-ALA-PWY	45.7821
ASPASN-PWY	1.6766
PWY-5111	298.173
PWY-2721	0.0498907
PWY-4821	413.815
P101-PWY	69.2684
PWY0-1356	1.18672
PWY0-1355	24.9713
PWY0-1353	225.48
TOLUENE-DEG-2-OH-PWY	0.406113
N2FIX-PWY	40.7244
PWY0-662	533.306
PWY0-661	35.9537
PHOSPHONOTASE-PWY	27.4145
BETA-ALA-DEGRADATION-I-PWY	1.5682
GALLATE-DEGRADATION-I-PWY	13.3972
IDNCAT-PWY	117.993
P3-PWY	12.7959
SAM-PWY	533.306
ACETOACETATE-DEG-PWY	0.635058
PWY0-1503	0.635058
PWY0-1500	0.635058
PWY0-1501	0.635058
PWY0-1506	0.635058
PWY0-1507	192.214
PWY0-1505	0.635058
GLUAMCAT-PWY	207.312
VALSYN-PWY	470.997
PWY-6579	0.635058
GLUCOSE1PMETAB-PWY	404.063
PWY-4261	34.2086
PWY-6572	0.274207
PYRUVOX-PWY	14.1155
GLUTAMATE-DEG1-PWY	84.1361
SUCUTIL-PWY	93.1296
PWY-5437	63.8662
PWY-5340	395.264
PWY-5025	189.259
PWY-5026	56.5573
TYRFUMCAT-PWY	207
PWY-5022	38.9473
PWY-4041	284.908
PWY-5973	167.575
PWY-5970	5.48414
PWY-5971	456.567
4-HYDROXYMANDELATE-DEGRADATION-PWY	41.1901
PWY-822	9.47738
PWY-5979	4.50769
PWY-6139	222.25
PWY-6130	32.7826
PWY-6137	291.255
PWY-6135	11.5931
PWY-6134	51.1596
HOMOSER-METSYN-PWY	436.247
PWY0-1433	0.743157
PWY-5509	380.271
REDCITCYC	46.6333
PWY-5507	326.849
GLUT-REDOX-PWY	146.268
FAO-PWY	476.258
PROSYN-PWY	474.997
PWY1A0-6325	2.5188
NONMEVIPP-PWY	496.455
SALVADEHYPOX-PWY	455.608
GALDEG-PWY	9.35872
PWY0-901	156.679
PWY-5723	61.8141
PWY-5489	2.92491
PWY-6317	487.793
GLUCARDEG-PWY	87.764
PWY-5485	362.681
PWY-5482	72.6744
PWY-5483	102.464
PWY-5480	45.2438
GLUCONEO-PWY	533.026
PWY-6337	0.0187308
PWY-4361	227.317
PWY-5642	21.1053
DETOX1-PWY	478.451
GALACTITOLCAT-PWY	37.3455
ARGSPECAT-PWY	37.4069
SORBDEG-PWY	35.0745
PWY0-42	32.3534
HISDEG-PWY	110.395
PWY0-41	189.67
PWY-6416	0.0237727
PWY0-44	24.7382
GLYSYN-THR-PWY	317.668
PWY-5155	207.389
PWY-5659	293.539
PWY0-1317	6.35252
PWY0-1481	0.635058
PWY0-1315	39.7481
PWY0-1314	142.19
PWY-5653	7.0773
FORMASS-PWY	9.57748
NADPHOS-DEPHOS-PWY	462.603
P601-PWY	35.3959
UBISYN-PWY	366.773
PWY-5654	177.362
ARGDEG-III-PWY	179.033
PWY-6406	149.409
PWY-3282	15.9304
CYSTEINE-DEG-PWY	0.0237727
HOMOSER-THRESYN-PWY	480.355
PWY-5852	126.11
PWY-5855	225.276
PWY-5857	218.801
PWY-5856	262.43
RIBITOLUTIL-PWY	2.11856
ALADEG-PWY	6.0628
BSUBPOLYAMSYN-PWY	359.836
BIOTIN-SYNTHESIS-PWY	276.415
GLUTSYNIII-PWY	76.7704
P142-PWY	57.9835
PWY0-1264	463.245
ARGDEG-IV-PWY	0.056831
PWY0-1261	219.716
P162-PWY	2.58719
PWY-6537	2.52866
KDO-LIPASYN-PWY	255.724
PWY-6535	1.80159
HSERMETANA-PWY	34.4369
HCAMHPDEG-PWY	24.7382
PWY-6530	0.169527
GLYOXYLATE-BYPASS	75.9641
RXN0-5268	7.83424
PWY-6538	2.77608
NADH-DEHYDROG-A-RXN	208.555
ARABCAT-PWY	119.094
ARG-PRO-PWY	31.1203
12DICHLORETHDEG-PWY	209.303
PWY0-1182	40.0608
SERDEG-PWY	205.424
P163-PWY	364.104
RIBOSYN2-PWY	530.54
PWY1G-0	2.54257
PWY1G-1	2.1048
PWY-1641	0.187478
PWY-1723	0.406113
PWY-1722	39.9775
PWY-561	50.5987
PWY-6173	2.07439
PWY-6536	19.2298
PWY-6075	44.2277
PWY-6073	8.27419
NARX-PWY	0.635058
PWY-6622	5.31964
ETOH-ACETYLCOA-ANA-PWY	17.4845
GLYCDEGRIII-PWY	0.124994
PWY-841	469.447
PWY-5276	13.6697
PWY0-301	59.059
PWY-701	75.9243
PWY0-823	186.774
PWY-5372	40.6299
ECASYN-PWY	82.2389
PWY-6213	26.5285
PWY-6210	177.362
PWY-2361	19.4904
PWY-6216	4.94331
PWY-6217	4.94331
PWY-5074	67.5844
